ID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Section,Topic,Difficulty,Date,Shift
31,What is the major product when 1-butyne reacts with H2 in the presence of a catalyst?,Butane,2-Butene,1-Butene,Butyne,B,Organic Chemistry,Alkenes and Alkynes,Hard,25-05-2020,Shift 1
32,What is the main product of the reaction between phenol and bromine?,Bromophenol,Phenyl bromide,"2,4,6-Tribromophenol",No reaction,C,Organic Chemistry,Aromatic Compounds,Hard,25-05-2020,Shift 1
33,What is the main component of natural gas?,Ethylene,Methane,Propane,Butane,B,Organic Chemistry,Hydrocarbons,Easy,25-05-2020,Shift 1
34,Which of the following is a characteristic of a strong base?,Low pH,High pH,Neutral pH,All of the above,B,Inorganic Chemistry,Acids & Bases,Hard,26-05-2020,Shift 2
35,What is the mechanism of the reaction between an alkyl halide and a nucleophile?,SN1,SN2,E1,E2,B,Organic Chemistry,Reaction Mechanisms,Hard,26-05-2020,Shift 2
36,Which of the following is a non-metal?,Sodium,Chlorine,Iron,Copper,B,Inorganic Chemistry,Periodic Table,Easy,26-05-2020,Shift 2
37,What is the main product of the reaction between an alkene and HBr?,Alkane,Alkyl bromide,Alcohol,Ether,B,Organic Chemistry,Alkenes and Alkynes,Medium,27-05-2020,Shift 1
38,What is the hybridization of the central atom in PCl5?,sp2,sp3,sp3d,sp3d2,C,Inorganic Chemistry,Chemical Bonding,Hard,27-05-2020,Shift 1
39,What is the product of the reaction between an alcohol and an acid chloride?,Ester,Ether,Aldehyde,Ketone,A,Organic Chemistry,Alcohols & Phenols,Hard,27-05-2020,Shift 1
40,What is the IUPAC name of the compound with the formula C4H8?,Butene,2-Butene,Butyne,1-Butanol,B,Organic Chemistry,Hydrocarbons,Hard,28-05-2020,Shift 2
41,Which of the following is a property of acids?,Bitter taste,Slippery feel,Sour taste,Oily feel,C,Inorganic Chemistry,Acids & Bases,Easy,28-05-2020,Shift 2
42,Which of the following is a property of a good oxidizing agent?,High electronegativity,Low oxidation state,High ionization energy,All of the above,A,Inorganic Chemistry,Redox Reactions,Hard,28-05-2020,Shift 2
43,What is the main use of sodium bicarbonate?,Baking,Cleaning,Fuel,Fertilizer,A,Inorganic Chemistry,Industrial Chemistry,Easy,29-05-2020,Shift 1
44,What is the major product of the reaction between 2-butanol and H2SO4?,Butene,Butane,2-Butene,No reaction,C,Organic Chemistry,Alcohols & Phenols,Hard,29-05-2020,Shift 1
45,What is the main product of the reaction between an alkene and H2O in the presence of H2SO4?,Alcohol,Ether,Alkane,Aldehyde,A,Organic Chemistry,Alkenes and Alkynes,Hard,29-05-2020,Shift 1
46,Which of the following is a characteristic of covalent compounds?,High melting point,Low boiling point,High conductivity,Soluble in water,B,Inorganic Chemistry,Chemical Bonding,Medium,30-05-2020,Shift 2
47,What is the product of the reaction between an alkene and KMnO4?,Alcohol,Ketone,Carboxylic acid,Aldehyde,A,Organic Chemistry,Alkenes and Alkynes,Hard,30-05-2020,Shift 2
48,Which of the following is a characteristic of a molecular solid?,High melting point,Low melting point,High conductivity,All of the above,B,Inorganic Chemistry,Solid State,Hard,30-05-2020,Shift 2
49,What is the bond angle in a tetrahedral molecule?,900,120ｰ,109.5ｰ,180ｰ,C,Inorganic Chemistry,Chemical Bonding,Hard,31-05-2020,Shift 1
50,What is the main product of the reaction between an acid and a base?,Salt,Water,Hydrogen gas,Both A and B,D,Inorganic Chemistry,Acids & Bases,Easy,31-05-2020,Shift 1
51,What is the product of the reaction between an alcohol and a ketone?,Ether,Aldehyde,Ketone,No reaction,D,Organic Chemistry,Alcohols & Phenols,Hard,31-05-2020,Shift 1
52,What is the major product of the reaction between 1-pentene and HBr?,2-Pentene,1-Bromopentane,2-Bromopentane,No reaction,C,Organic Chemistry,Alkenes and Alkynes,Hard,01-06-2020,Shift 2
53,Which of the following is a property of bases?,Sour taste,Slippery feel,Corrosive,All of the above,B,Inorganic Chemistry,Acids & Bases,Medium,01-06-2020,Shift 2
54,Which of the following is a property of a strong acid?,High pH,Low pH,Neutral pH,All of the above,B,Inorganic Chemistry,Acids & Bases,Hard,01-06-2020,Shift 2
55,What is the main product of the reaction between an alcohol and a carboxylic acid?,Ester,Ether,Aldehyde,Ketone,A,Organic Chemistry,Alcohols & Phenols,Hard,02-06-2020,Shift 1
56,What is the main component of vinegar?,Acetic acid,Citric acid,Lactic acid,Formic acid,A,Organic Chemistry,Acids & Bases,Easy,02-06-2020,Shift 1
57,Which of the following is a characteristic of a Lewis acid?,Electron donor,Electron acceptor,Proton donor,All of the above,B,Inorganic Chemistry,Acid-Base Chemistry,Hard,03-06-2020,Shift 2
58,Which of the following is a characteristic of noble gases?,High reactivity,Low boiling point,Low density,All of the above,C,Inorganic Chemistry,Periodic Table,Easy,03-06-2020,Shift 2
59,What is the oxidation state of manganese in KMnO4?,2,4,6,7,D,Inorganic Chemistry,Redox Reactions,Hard,15-05-2021,Shift 1
60,What is the oxidation state of sulfur in H2SO4?,2,4,6,8,C,Inorganic Chemistry,Redox Reactions,Hard,15-05-2021,Shift 1
61,Which of the following is a characteristic of metals?,Dull appearance,Poor conductor,Malleable,Brittle,C,Inorganic Chemistry,Metals,Easy,16-05-2021,Shift 2
62,Which of the following is a property of transition metals?,High melting point,Low density,Fixed oxidation states,All of the above,A,Inorganic Chemistry,d-Block Elements,Hard,16-05-2021,Shift 2
63,What is the hybridization of the central atom in XeF4?,sp2,sp3,sp3d,sp3d2,D,Inorganic Chemistry,Chemical Bonding,Hard,17-05-2021,Shift 1
64,What is the oxidation state of chlorine in NaCl?,-1,1,0,3,A,Inorganic Chemistry,Redox Reactions,Easy,17-05-2021,Shift 1
65,Which of the following is a characteristic of a strong electrolyte?,Low conductivity,High conductivity,Neutral pH,All of the above,B,Physical Chemistry,Electrolytes,Hard,18-05-2021,Shift 2
66,What is the hybridization of the central atom in SF6?,sp2,sp3,sp3d,sp3d2,C,Inorganic Chemistry,Chemical Bonding,Hard,18-05-2021,Shift 2
67,What is the molecular formula of ethanol?,C2H4O,C2H6O,C2H5OH,C2H2O,C,Organic Chemistry,Alcohols & Phenols,Easy,19-05-2021,Shift 1
68,What is the main product of the reaction between Na and Cl2?,NaCl,NaCl2,Na2Cl,Na2Cl3,A,Inorganic Chemistry,Redox Reactions,Hard,19-05-2021,Shift 1
69,Which gas is produced during the reaction of an acid with a metal?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,B,Inorganic Chemistry,Acid-Base Reactions,Easy,20-05-2021,Shift 2
70,Which of the following is a property of a covalent compound?,High melting point,Low boiling point,High conductivity,All of the above,B,Inorganic Chemistry,Chemical Bonding,Hard,20-05-2021,Shift 2
71,What is the main component of air?,Oxygen,Nitrogen,Carbon dioxide,Argon,B,Physical Chemistry,Gases,Easy,21-05-2021,Shift 1
72,What is the bond order of the N2 molecule?,1,2,3,4,C,Physical Chemistry,Molecular Orbital Theory,Hard,21-05-2021,Shift 1
73,Which of the following is a Lewis acid?,BF3,H2O,NH3,CH4,A,Inorganic Chemistry,Acid-Base Chemistry,Hard,21-05-2021,Shift 1
74,What is the main product of the reaction between an alkali metal and water?,Metal hydroxide,Hydrogen gas,Both A and B,Neither A nor B,C,Inorganic Chemistry,Acid-Base Reactions,Hard,22-05-2021,Shift 2
75,Which of the following is a characteristic of a strong reducing agent?,High electronegativity,Low oxidation state,High ionization energy,All of the above,B,Inorganic Chemistry,Redox Reactions,Hard,22-05-2021,Shift 2
76,What is the coordination number of the central atom in [Ni(CN)4],4,6,2,8,A,Inorganic Chemistry,Coordination Compounds,Hard,23-05-2021,Shift 1
77,What is the main product of the reaction between an alcohol and an acid chloride?,Ester,Ether,Aldehyde,Ketone,A,Organic Chemistry,Alcohols & Phenols,Hard,23-05-2021,Shift 1
78,What is the primary use of hydrochloric acid?,Cleaning,Fertilizers,Food preservation,Detergents,A,Inorganic Chemistry,Industrial Chemistry,Medium,23-05-2021,Shift 1
79,What is the main product of the reaction between an alkene and water?,Alcohol,Alkane,Alkyl halide,Ether,A,Organic Chemistry,Alkenes and Alkynes,Medium,25-05-2021,Shift 1
80,What is the main product of the reaction between sulfuric acid and sodium bicarbonate?,Sodium sulfate,Carbon dioxide,Water,All of the above,D,Inorganic Chemistry,Acid-Base Reactions,Hard,25-05-2021,Shift 1
81,What is the bond angle in a trigonal planar molecule?,90ｰ,120ｰ,109.5ｰ,180ｰ,B,Inorganic Chemistry,Chemical Bonding,Hard,25-05-2021,Shift 1
82,What is the main product of the reaction between an alkene and water in the presence of H2SO4?,Alcohol,Ether,Alkane,Aldehyde,A,Organic Chemistry,Alkenes and Alkynes,Hard,26-05-2021,Shift 2
83,What is the oxidation state of iron in Fe2O3?,2,3,4,6,B,Inorganic Chemistry,Redox Reactions,Hard,26-05-2021,Shift 2
84,What is the main component of baking soda?,Sodium bicarbonate,Sodium chloride,Sodium sulfate,Sodium carbonate,A,Inorganic Chemistry,Industrial Chemistry,Easy,27-05-2021,Shift 1
85,Which of the following is a property of a Lewis acid?,Electron donor,Electron acceptor,Proton donor,All of the above,B,Inorganic Chemistry,Acid-Base Chemistry,Hard,27-05-2021,Shift 1
86,What is the main product of the reaction between aluminum and hydrochloric acid?,Aluminum chloride,Hydrogen gas,Both A and B,Neither A nor B,C,Inorganic Chemistry,Acid-Base Reactions,Hard,28-05-2021,Shift 2
87,What is the hybridization of the central atom in [Cu(NH3)4],sp2,sp3,sp3d,sp3d2,B,Inorganic Chemistry,Coordination Compounds,Hard,29-05-2021,Shift 1
88,What is the main product of the reaction between an acid and a carbonate?,Salt,Water,Carbon dioxide,Both A and B,D,Inorganic Chemistry,Acids & Bases,Easy,29-05-2021,Shift 1
89,What is the main use of sodium hydroxide?,Cleaning,Food preservation,Fertilizers,Detergents,A,Inorganic Chemistry,Industrial Chemistry,Medium,31-05-2021,Shift 1
90,Which of the following is a characteristic of acids?,Bitter taste,Sour taste,Slippery feel,Oily feel,B,Inorganic Chemistry,Acids & Bases,Easy,03-06-2021,Shift 2
91,Which of the following is NOT a colligative property?,Boiling point elevation,Freezing point depression,Vapor pressure lowering,Molecular weight,D,Physical Chemistry,Solutions,Medium,03-05-2022,Shift 1
92,Which of the following elements has the highest electron affinity?,Fluorine,Chlorine,Bromine,Iodine,B,Inorganic Chemistry,Periodic Table,Medium,09-05-2022,Shift 1
93,Which law of thermodynamics states that energy cannot be created or destroyed?,First Law,Second Law,Third Law,Zeroth Law,A,Physical Chemistry,Thermodynamics,Easy,10-05-2022,Shift 1
94,Which element is present in vitamin B12?,Iron,Cobalt,Zinc,Magnesium,B,Inorganic Chemistry,Biomolecules,Medium,10-05-2022,Shift 2
95,Which of the following has the lowest pKa value?,Acetic acid,Benzoic acid,Formic acid,Phenol,C,Organic Chemistry,Acid-Base Chemistry,Medium,11-05-2022,Shift 2
96,The rate of a chemical reaction doubles when the temperature is increased from 300 K to 310 K. What is the approximate activation energy of the reaction?,50 kJ/mol,35 kJ/mol,44 kJ/mol,28 kJ/mol,C,Physical Chemistry,Chemical Kinetics,Medium,12-05-2022,Shift 2
97,Which of the following has the highest ionic character?,HF,HCl,HBr,HI,A,Inorganic Chemistry,Chemical Bonding,Medium,12-05-2022,Shift 2
98,Which metal is extracted by electrolysis of its molten ore?,Iron,Copper,Aluminum,Silver,C,Inorganic Chemistry,Metallurgy,Easy,12-05-2022,Shift 2
99,Which of the following is the correct expression for the Nernst equation?,E = Eｰ - (RT/nF) ln(Q),E = Eｰ + (RT/nF) ln(Q),E = Eｰ - (nF/RT) ln(Q),E = Eｰ + (nF/RT) ln(Q),A,Physical Chemistry,Electrochemistry,Medium,14-05-2022,Shift 1
100,What is the van der Waals equation for real gases?,PV = nRT,(P + (a/V2)) (V - nb) = nRT,PV = nRT + a(n/V)?,PV = nRT - nb,B,Physical Chemistry,Gaseous State,Hard,15-05-2022,Shift 1
101,Calculate the pH of a 0.01 M HCl solution.,1,2,3,4,A,Physical Chemistry,Acids & Bases,Hard,15-05-2022,Shift 1
102,Calculate the pH of a 0.01 M NaOH solution.,12,13,14,11,B,Physical Chemistry,Acids & Bases,Hard,15-05-2022,Shift 1
103,What is the molarity of a solution containing 10 g of KCl in 500 mL of solution?,0.25 M,0.5 M,1.0 M,1.5 M,A,Physical Chemistry,Solutions,Hard,16-05-2022,Shift 2
104,What is the enthalpy change for the reaction at constant pressure?,ΔH = ΔU + PΔV,ΔH = ΔU - PΔV,ΔH = ΔU,ΔH = ΔU + ΔS,A,Physical Chemistry,Thermodynamics,Hard,16-05-2022,Shift 2
105,"In a face-centered cubic (FCC) lattice, what is the coordination number of each atom?",6,8,12,14,C,Inorganic Chemistry,Solid State,Medium,16-05-2022,Shift 2
106,What is the molarity of a solution containing 5 g of NaCl in 500 mL of solution?,0.17 M,0.25 M,0.50 M,0.75 M,B,Physical Chemistry,Solutions,Hard,16-05-2022,Shift 2
107,Which of the following is a colligative property?,Boiling point elevation,Freezing point depression,Osmotic pressure,All of the above,D,Physical Chemistry,Colligative Properties,Hard,17-05-2022,Shift 1
108,Calculate the enthalpy change (ΔH) for the reaction: 2H2(g) + O2(g) -> 2H2O(g) given that ΔHf for H2O is -241.8 kJ/mol.,-483.6 kJ,-241.8 kJ,0 kJ,+241.8 kJ,A,Physical Chemistry,Thermodynamics,Hard,17-05-2022,Shift 1
109,Calculate the enthalpy change (ΔH) for the reaction: N2(g) + 3H2(g) -> 2NH3(g) given that ΔHf for NH3 is -45.9 kJ/mol.,-91.8 kJ,-45.9 kJ,0 kJ,+45.9 kJ,A,Physical Chemistry,Thermodynamics,Hard,17-05-2022,Shift 1
110,What is the relationship between Gibbs free energy and spontaneity?,?G < 0 indicates spontaneity,?G > 0 indicates spontaneity,?G = 0 indicates spontaneity,All of the above,A,Physical Chemistry,Thermodynamics,Hard,18-05-2022,Shift 2
111,Which colligative property is used to determine the molar mass of a solute by measuring the freezing point depression of a solution?,Boiling point elevation,Osmotic pressure,Vapor pressure lowering,Freezing point depression,D,Physical Chemistry,Solutions,Medium,18-05-2022,Shift 1
112,What is the rate constant (k) for a first-order reaction if the half-life (t1/2) is 10 minutes?,0.0693 min-1,0.1 min-1,0.693min-1,0.5 min-1,A,Physical Chemistry,Chemical Kinetics,Hard,18-05-2022,Shift 2
113,What is the rate constant (k) for a second-order reaction if the half-life (t1/2) is 5 minutes?,0.1 min-1,0.2 min-1,0.5 min-1,1.0 min-1,B,Physical Chemistry,Chemical Kinetics,Hard,18-05-2022,Shift 2
114,What is the unit of the rate constant for a second-order reaction?,mol/L.s,L2/mol.s,L/mol.s,s-1,B,Physical Chemistry,Chemical Kinetics,Hard,19-05-2022,Shift 1
115,Calculate the freezing point depression (ΔTf) for a solution of 2 moles of NaCl in 1 kg of water (Kf for water = 1.86 ｰC kg/mol).,3.72 0C,2.79 0C,1.86 0C,4.32 0C,A,Physical Chemistry,Solutions,Hard,19-05-2022,Shift 1
116,Calculate the freezing point depression (ΔTf) for a solution of 1.5 moles of NaCl in 1 kg of water (Kf for water = 1.86 ｰC kg/mol).,2.79 0C,3.72 0C,1.86 0C,4.32 0C,B,Physical Chemistry,Solutions,Hard,19-05-2022,Shift 1
117,What is the vapor pressure of a solution containing 10 g of glucose in 100 g of water at 25 0C (Vapor pressure of pure water = 23.76 mmHg)?,22.5 mmHg,20.0 mmHg,21.5 mmHg,23.0 mmHg,A,Physical Chemistry,Solutions,Hard,20-05-2022,Shift 2
118,What is the vapor pressure of a solution containing 20 g of glucose in 200 g of water at 25 0C (Vapor pressure of pure water = 23.76 mmHg)?,22.5 mmHg,20.0 mmHg,21.5 mmHg,23.0 mmHg,A,Physical Chemistry,Solutions,Hard,20-05-2022,Shift 2
119,Which element has the highest electronegativity?,Oxygen,Fluorine,Chlorine,Nitrogen,B,Inorganic Chemistry,Periodic Table,Easy,20-05-2022,Shift 1
120,What is the effect of temperature on the rate of a chemical reaction?,Increases rate,Decreases rate,No effect,Depends on the reaction,A,Physical Chemistry,Chemical Kinetics,Hard,20-05-2022,Shift 2
121,"Calculate the equilibrium constant (Kc) for the reaction: 2NO(g) + O2(g) -> 2NO2(g) if the concentrations at equilibrium are [NO] = 0.5 M, [O2] = 0.2 M, and [NO2] = 0.8 M.",4,8,2,1,A,Physical Chemistry,Chemical Equilibrium,Hard,21-05-2022,Shift 1
122,What is the principle behind the Nernst equation?,Concentration affects potential,Temperature affects potential,Pressure affects potential,All of the above,A,Physical Chemistry,Electrochemistry,Hard,21-05-2022,Shift 1
123,"Calculate the equilibrium constant (Kc) for the reaction: 2SO2(g) + O2(g) ? 2SO3(g) if the concentrations at equilibrium are [SO2] = 0.5 M, [O2] = 0.2 M, and [SO3] = 0.8 M.",4,8,2,1,A,Physical Chemistry,Chemical Equilibrium,Hard,21-05-2022,Shift 1
124,What is the pH of a 0.1 M solution of NaOH?,10,11,12,13,D,Physical Chemistry,Acids & Bases,Hard,22-05-2022,Shift 2
125,What is the shape of the methane (CH4) molecule according to the VSEPR theory?,Linear,Trigonal planar,Tetrahedral,Bent,C,Inorganic Chemistry,Chemical Bonding,Easy,22-05-2022,Shift 2
126,What is the relationship between entropy and disorder?,ΔS = ΔH/T,ΔS = k ln(W),ΔS = Q/T,ΔS = PΔV,B,Physical Chemistry,Thermodynamics,Hard,22-05-2022,Shift 2
127,What is the pH of a 0.1 M solution of KOH?,10,11,12,13,D,Physical Chemistry,Acids & Bases,Hard,22-05-2022,Shift 2
128,Calculate the molar mass of a gas if 1 g of the gas occupies 0.5 L at 1 atm and 273 K.,22.4 g/mol,44.8 g/mol,11.2 g/mol,5.6 g/mol,B,Physical Chemistry,Gaseous State,Hard,23-05-2022,Shift 1
129,What is the critical temperature of a substance?,Temperature above which gas cannot be liquefied,Temperature below which gas cannot be liquefied,Temperature at which solid melts,Temperature at which liquid boils,A,Physical Chemistry,Gaseous State,Hard,23-05-2022,Shift 1
130,Calculate the molar mass of a gas if 0.5 g of the gas occupies 0.25 L at 1 atm and 273 K.,22.4 g/mol,44.8 g/mol,11.2 g/mol,5.6 g/mol,B,Physical Chemistry,Gaseous State,Hard,23-05-2022,Shift 1
131,What is the effect of a catalyst on a chemical reaction?,Increases activation energy,Decreases activation energy,No effect on activation energy,Changes the equilibrium constant,B,Physical Chemistry,Chemical Kinetics,Hard,24-05-2022,Shift 2
132,What is the change in internal energy (ΔU) for a system that absorbs 100 J of heat and does 40 J of work on the surroundings?,60 J,140 J,-60 J,-140 J,A,Physical Chemistry,Thermodynamics,Hard,24-05-2022,Shift 2
133,What is the oxidation state of cobalt in [Co(NH3)6]ｳ??,2,3,1,0,B,Inorganic Chemistry,Coordination Compounds,Medium,24-05-2022,Shift 1
134,What is the change in internal energy (ΔU) for a system that absorbs 150 J of heat and does 50 J of work on the surroundings?,100 J,200 J,-100 J,-200 J,A,Physical Chemistry,Thermodynamics,Hard,24-05-2022,Shift 2
135,What is the relationship between pressure and volume in Boyle's Law?,PV = constant,P + V = constant,P/V = constant,P - V = constant,A,Physical Chemistry,Gaseous State,Hard,25-05-2022,Shift 1
136,Calculate the standard Gibbs free energy change (ΔGｰ) at 298 K for the reaction: A -> B if K = 10.,-5.69 kJ/mol,5.69 kJ/mol,0 kJ/mol,-2.30 kJ/mol,A,Physical Chemistry,Thermodynamics,Hard,25-05-2022,Shift 1
137,Calculate the standard Gibbs free energy change (ΔGｰ) at 298 K for the reaction: A -> B if K = 5.,-1.61 kJ/mol,1.61 kJ/mol,0 kJ/mol,-2.30 kJ/mol,A,Physical Chemistry,Thermodynamics,Hard,25-05-2022,Shift 1
138,What is the heat of reaction (ΔH) for the combustion of 1 mole of propane (C3H8) if the enthalpy of formation of CO2 and H2O are -393.5 kJ/mol and -241.8 kJ/mol respectively?,-2200 kJ,-2000 kJ,-1800 kJ,-1600 kJ,A,Physical Chemistry,Thermodynamics,Hard,26-05-2022,Shift 2
139,What is the standard enthalpy of formation?,ΔHf = ΔHproducts - ΔHreactants,ΔHf = ΔHreactants - ΔHproducts,ΔHf = ΔHproducts +ΔHreactants,ΔHf =ΔHproducts / ΔHreactants,A,Physical Chemistry,Thermodynamics,Hard,26-05-2022,Shift 2
140,Which of the following oxides is amphoteric in nature?,CO2,Na2O,Al2O3,SO3,C,Inorganic Chemistry,p-Block Elements,Medium,26-05-2022,Shift 2
141,What is the heat of reaction (ΔH) for the combustion of 1 mole of methane (CH4) if the enthalpy of formation of CO2 and H2O are -393.5 kJ/mol and -241.8 kJ/mol respectively?,-890 kJ,-800 kJ,-700 kJ,-600 kJ,A,Physical Chemistry,Thermodynamics,Hard,26-05-2022,Shift 2
142,What is the relationship between temperature and kinetic energy?,KE = 1/2 mv2,KE = 3/2 kT,KE = mv,KE = 1/2 kT2,B,Physical Chemistry,Kinetic Theory,Hard,27-05-2022,Shift 1
143,Calculate the concentration of H+ ions in a solution with a pH of 3.,0.001 M,0.01 M,0.1 M,1 M,A,Physical Chemistry,Acids & Bases,Hard,27-05-2022,Shift 1
144,Calculate the concentration of H+ ions in a solution with a pH of 2.,0.01 M,0.1 M,1 M,0.001 M,A,Physical Chemistry,Acids & Bases,Hard,27-05-2022,Shift 1
145,What is the effect of dilution on the freezing point of a solution?,Freezing point increases,Freezing point decreases,No effect,Depends on solute,B,Physical Chemistry,Solutions,Hard,28-05-2022,Shift 2
146,What is the molality of a solution containing 15 g of NaCl in 300 g of water?,0.5 m,1.0 m,1.5 m,2.0 m,B,Physical Chemistry,Solutions,Hard,28-05-2022,Shift 2
147,What is the molality of a solution containing 10 g of NaCl in 200 g of water?,0.5 m,1.0 m,1.5 m,2.0 m,B,Physical Chemistry,Solutions,Hard,28-05-2022,Shift 2
148,Which transition metal ion is colorless in aqueous solution?,Fe2+,Cu2+,Zn2+,Co2+,C,Inorganic Chemistry,d-Block Elements,Medium,28-05-2022,Shift 1
149,Calculate the change in entropy (ΔS) for a process where 100 J of heat is absorbed at a constant temperature of 298 K.,0.33 J/K,0.25 J/K,0.50 J/K,0.75 J/K,A,Physical Chemistry,Thermodynamics,Hard,29-05-2022,Shift 1
150,What is the relationship between the rate of a reaction and concentration?,Directly proportional,Inversely proportional,No relationship,Exponential,A,Physical Chemistry,Chemical Kinetics,Hard,29-05-2022,Shift 1
151,Calculate the change in entropy (ΔS) for a process where 200 J of heat is absorbed at a constant temperature of 298 K.,0.67 J/K,0.50 J/K,0.75 J/K,0.80 J/K,A,Physical Chemistry,Thermodynamics,Hard,29-05-2022,Shift 1
152,What is the significance of the Arrhenius equation?,Relates temperature to reaction rate,Relates pressure to reaction rate,Relates concentration to reaction rate,Relates volume to reaction rate,A,Physical Chemistry,Chemical Kinetics,Hard,30-05-2022,Shift 2
